gateway_id,transaction_ref,amount,gateway_status,received_at
1,8c8ac6d2-5761-4656-a1b5-90bb41701c3c,16311.07,success,2026-09-10 08:21:16.890817
2,b8572250-4d5c-4e64-8e4a-322f823751a1,2808.07,success,2026-09-10 08:21:16.896154
3,9327c23c-8ac5-4b0d-a5c5-d444ec3f2183,13960.22,success,2026-09-10 08:21:16.898493
4,d4d915a0-e2ce-4765-a956-fed7f3be80b2,14636.52,success,2026-09-10 08:21:16.900474
5,ab4da9d7-2755-4571-b573-8c9908be03cd,10085.48,success,2026-09-10 08:21:16.902633
6,8e87efc4-ca10-4776-a2ce-951c2fc57318,10755.53,success,2026-09-10 08:21:16.904847
7,b15af175-8b86-4c85-8baa-bbf807eb16c3,10040.16,success,2026-09-10 08:21:16.906612
8,8aca08cb-5ef8-4907-8155-9eb84508fdcc,17584.99,success,2026-09-10 08:21:16.90856
9,ac895eeb-e6c2-45c1-b1d4-c2b4e8994c41,9581.45,success,2026-09-10 08:21:16.91066
10,349c9e08-36d2-4927-8350-e2c432a91139,10585.20,success,2026-09-10 08:21:16.912438
11,c59f89e3-bfe5-4c4f-864b-04479a14914a,16117.69,success,2026-09-10 08:21:16.91449
12,afda9a6c-f147-4883-9196-188ce802ac9b,14579.48,success,2026-09-10 08:21:16.916374
13,8ba2fab6-b897-4b5e-9853-fa862de26e6c,2738.94,success,2026-09-10 08:21:16.918341
14,4614fdf7-ee29-49ae-8c37-c5d74a3964ba,15959.86,success,2026-09-10 08:21:16.920224
15,4dda77d1-ab3a-4fd8-96ed-4885be89af28,18820.39,success,2026-09-10 08:21:16.922334
16,d403a643-b99f-4b53-b39c-f650b1e0982b,4590.34,success,2026-09-10 08:21:16.924247
17,d9d4f360-00f5-48fb-b852-47261dfe1520,1319.03,success,2026-09-10 08:21:16.926177
18,6c7f0037-be05-4de6-bc21-b5f00eb03713,19846.25,success,2026-09-10 08:21:16.928198
19,d8e1d9bd-c965-450c-9c9a-94c4c6fd5717,1654.71,success,2026-09-10 08:21:16.930042
20,c32d822d-e96d-4003-b18b-d888c2df2e42,6287.01,success,2026-09-10 08:21:16.93195
21,11f2709c-b762-4934-9800-a4a270ea168c,17272.22,success,2026-09-10 08:21:16.933989
22,9a4ce238-d116-4297-a9b9-d2a60a968d50,4727.86,success,2026-09-10 08:21:16.935958
23,20c89299-5f81-40e5-975c-c494d5125523,18968.79,success,2026-09-10 08:21:16.937999
24,afbec306-361d-40de-9e11-41bf79f40ae8,17487.45,success,2026-09-10 08:21:16.940028
25,86eee955-e450-46cc-a516-de70f3756f31,17325.92,success,2026-09-10 08:21:16.941989
26,acf5b603-c0fd-43eb-9152-8d69afd82327,17090.10,success,2026-09-10 08:21:16.944148
27,d6e70b0b-732b-472a-8493-2e16a3cbb80f,3958.36,success,2026-09-10 08:21:16.947418
28,84cb2eb2-070e-4015-b923-e49586efb9e9,15011.14,success,2026-09-10 08:21:16.94919
29,8f810a52-f8ee-448e-bb4f-ab21eb94122c,19364.52,success,2026-09-10 08:21:16.951091
30,4be47de8-ec5d-46f9-a44d-528c7da4fec8,7354.41,success,2026-09-10 08:21:16.952899
31,6d3d8f83-0781-48e2-9fc0-072d9f84172d,191.60,success,2026-09-10 08:21:16.954843
32,15cfb57d-c65d-4b79-929a-d9b79c3e7100,7093.18,success,2026-09-10 08:21:16.956699
33,48d09ea5-e359-485d-884b-70957dcf6808,18756.57,success,2026-09-10 08:21:16.958695
34,7fad9539-01e9-4e58-830c-f2ad575171c9,7512.90,success,2026-09-10 08:21:16.960761
35,11a799d6-13de-4cdf-a9b8-193c4cb9e8f8,6684.31,success,2026-09-10 08:21:16.962309
36,bcf7ce55-a03d-45f0-bd6e-d16f02534065,19387.27,success,2026-09-10 08:21:16.96385
